"NoProj","PeriodeDate","CodPrg","NomProjet","NomCatg","Nom_Volet","NbStagReel","NoOrgaQue","NoOrgaEtran","NomOrgaQue","NomOrgaEtran","NomPays","VilleQuartier","Lattitude","Longitude","Secteur principal","Domaine","MontantSubvention","Versement1","Versement2","Versement3","Versement4","Versement5","AnnFinaVersement1","AnnFinaVersement2","AnnFinaVersement3","AnnFinaVersement4","AnnFinaVersement5","Statut"
645,"2001-2002","AAHI","Santé pour tous","Stages étudiants","",0,197,,"Mer et Monde",,"Sénégal","Dakar",14.71,-17.47,"Santé","Soins et services de santé de base",2500.00,2500.00,0.00,0.00,0.00,0.00,"2001-2002","","","","","Approuvé / Versé"
646,"2001-2002","AAHI","Salud Honduras","Stages étudiants","",0,197,249,"Mer et Monde","Koinonia","Honduras","Tegucigalpa",14.10,-87.21,"Santé","Soins et services de santé de base",2500.00,2500.00,0.00,0.00,0.00,0.00,"2001-2002","","","","","Approuvé / Versé"
648,"2000-2001","AAHI","Los Amigos","Stages étudiants","",0,62,,"L'AMIE (Aide internationale à l'enfance)",,"République dominicaine","Sosua",18.47,-69.90,"Éducation","Équipements scolaires et formation",2000.00,2000.00,0.00,0.00,0.00,0.00,"2000-2001","","","","","Approuvé / Versé"
650,"2001-2002","AAHI","Mali: sciences infirmières et ergothérapie","Stages étudiants","",0,200,,"Santé Tiers-Monde",,"Mali","",12.65,-8.00,"Santé","Soins et services de santé de base",2500.00,2500.00,0.00,0.00,0.00,0.00,"2001-2002","","","","","Approuvé / Versé"
651,"2001-2002","AAHI","Sénégal: sciences infirmières","Stages étudiants","",0,200,,"Santé Tiers-Monde",,"Sénégal","Dakar et les environs",14.71,-17.47,"Santé","Soins et services de santé de base",2000.00,2000.00,0.00,0.00,0.00,0.00,"2001-2002","","","","","Approuvé / Versé"
652,"1999-2000","QSF","Les Aymaras, l'entraide, l'économie pour une société plus juste ... plus humaine","Stages annuels","universel",7,92,,"Comité régional d'éducation pour le développement international de Lanaudière",,"Chili","",-33.45,-70.66,"Multisectoriel/Autre",,30400.00,15200.00,15200.00,2856.00,0.00,0.00,"1999-2000","1999-2000","1999-2000","","","Approuvé / Versé"
653,"1999-2000","QSF","Aménagement de la marge de Gaigourou","Stages annuels","universel",7,79,,"Carrefour International (bureau régional du Québec)",,"Niger","",13.51,2.11,"Multisectoriel/Autre",,33600.00,16800.00,16800.00,2427.60,0.00,0.00,"1999-2000","1999-2000","1999-2000","","","Approuvé / Versé"
654,"1999-2000","QSF","Agriculture et santé communautaire","Stages annuels","universel",9,80,136,"Carrefour de solidarité internationale","Association Kilabo","Mali","",12.65,-8.00,"Multisectoriel/Autre",,37431.00,18715.50,18715.50,3121.20,0.00,0.00,"1999-2000","1999-2000","1999-2000","","","Approuvé / Versé"
655,"2000-2001","QSF","Éducation populaire","Stages annuels","universel",7,76,272,"Alternatives","Red Comunal de Jovenes de Lota","Chili","",-33.45,-70.66,"Éducation","Éducation pour une meilleure qualité de vie pour les jeunes et les adultes",25960.00,14175.00,11655.00,2184.00,130.00,0.00,"2000-2001","2000-2001","2000-2001","2000-2001","","Approuvé / Versé"
656,"2000-2001","QSF","Défense et promotion des droits des femmes","Stages annuels","universel",6,76,275,"Alternatives","Rassemblement démocratique des femmes du Niger","Niger","",13.51,2.11,"Gouvernance et société civile","Droits de la personne",24540.00,13350.00,11190.00,2124.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
657,"2000-2001","QSF","Toc ! Toc ! Toc ! Que le théâtre commence !","Stages annuels","universel",10,101,40,"Plan Nagua","Instituto de desarollo para la acción comunitaria","République dominicaine","",18.47,-69.90,"Services sociaux","Culture et loisirs",38380.00,21975.00,16405.00,2581.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
658,"2000-2001","QSF","Prise un... prise deux... Accion !","Stages annuels","universel",10,101,276,"Plan Nagua","Asociacion Christina de Jovenes de Nicaragua (ACJ)","Nicaragua","",12.15,-86.26,"Services sociaux","Culture et loisirs",42030.00,23625.00,18405.00,4740.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
659,"2000-2001","QSF","Juntos para un animo colectivo","Stages annuels","universel",10,101,191,"Plan Nagua","CEFEMINA","Costa Rica","",9.93,-84.08,"Multisectoriel/Autre",,42030.00,23625.00,18405.00,4740.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
660,"2001-2002","AAHI","Prévention de la transmission mère-enfant du VIH/sida en Haïti (1re Phase)","Grands projets","",0,119,277,"Médecins du monde","Hôpital Sainte-Catherine de Labouré (CHOSCAL)","Haïti","",18.54,-72.33,"Santé","Lutte contre les MST et VIH/Sida",70000.00,38000.00,32000.00,0.00,0.00,0.00,"1998-1999","2001-2002","","","","Approuvé / Versé"
663,"2001-2002","AAHI","Alfatibonit, phase 2 (renforcement de l'alphabétisation) - Haïti","Grands projets","",0,73,,"Fondation Paul Gérin-Lajoie",,"Haïti"," Saint-Marc, région d'Artibonite",18.54,-72.33,"Éducation","Éducation pour une meilleure qualité de vie pour les jeunes et les adultes",275000.00,137500.00,137500.00,0.00,0.00,0.00,"2001-2002","2002-2003","","","","Approuvé / Versé"
665,"2001-2002","AAHI","Appui à la formation de comités de santé dans trois (3) districts de la Vallée de la Convention, Quillabamba, Cuzco.","Grands projets","",0,80,280,"Carrefour de solidarité internationale","Ayni salud","Pérou","Département de Cuzco",-12.04,-77.05,"Santé","Éducation sanitaire",109462.00,56859.00,52603.00,0.00,0.00,0.00,"2001-2002","2002-2003","","","","Approuvé / Versé"
666,"2001-2002","AAHI","Santé des femmes dans la région de Santiago, en République dominicaine.","Grands projets","",0,195,235,"Centre de coopération internationale en santé et développement inc.","Fundacion Mujer-Iglesia (la Fundacion)","République dominicaine","Santiago",18.47,-69.90,"Santé","Formation de personnel en matière de population et de santé et fertilité",62235.00,62235.00,0.00,0.00,0.00,0.00,"2001-2002","","","","","Approuvé / Versé"
676,"2001-2002","AAHI","Projet contre l'excision des femmes au Burkina Faso.","Grands projets","",0,93,291,"Cuso-Vso","SOS Sahel International Burkina Faso","Burkina Faso","5 provinces du nord du pays",12.37,-1.52,"Santé","Éducation sanitaire",90000.00,90000.00,0.00,0.00,0.00,0.00,"2001-2002","","","","","Approuvé / Versé"
678,"2001-2002","QSF","Jeunes créateurs et citoyens du monde","Stages annuels","universel",9,105,326,"Solidarité Union Coopération","Vichama-Casa de teatro","Pérou","",-12.04,-77.05,"Gouvernance et société civile","Renforcement de la société civile",34920.00,8730.00,8730.00,21240.00,0.00,0.00,"2001-2002","2001-2002","2001-2002","","","Approuvé / Versé"
679,"2000-2001","QSF","Lutte contre la désertification au Sénégal","Stages annuels","spécialisé",7,76,222,"Alternatives","Convention pour la rénovation de Palmarin (COREPA)","Sénégal","",14.71,-17.47,"Agriculture / Foresterie","Ressources en terres cultivables",29960.00,16450.00,13510.00,2940.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
680,"2001-2002","AAHI","Escuela Nino Obrero","Stages étudiants","",0,103,286,"Regroupement des missionnaires laiques","Escuela Nino Obrero","Guatemala","Antigua",14.62,-90.52,"Éducation","Enseignement primaire",1500.00,1500.00,0.00,0.00,0.00,0.00,"2001-2002","","","","","Approuvé / Versé"
681,"2000-2001","QSF","Agente ou agent d'éducation et de sensibilisation","Stages annuels","stagiaires OCI",1,76,,"Alternatives",,"Canada-Québec","",46.84,-71.24,"Concours fournis aux OCI québécois","Appui à la mission des OCI",10000.00,5000.00,5000.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
682,"2001-2002","AAHI","CIPO-Togo 2001","Stages étudiants","",0,66,199,"Club 2/3","Association Découverte Togo Profond (ADETOP)","Togo","Lavié-Agodè",6.13,1.22,"Éducation","Équipements scolaires et formation",2250.00,2250.00,0.00,0.00,0.00,0.00,"2001-2002","","","","","Approuvé / Versé"
683,"2000-2001","QSF","Éducation populaire et travail social","Stages annuels","réciprocité",1,76,287,"Alternatives","La Direccion de Desarrollo Communitario de Lota","Chili","",-33.45,-70.66,"Éducation","Formation des enseignants",5210.00,5770.00,0.00,0.00,0.00,0.00,"2000-2001","","","","","Approuvé / Versé"
684,"2000-2001","QSF","Droits des femmes et développement local au Niger","Stages annuels","réciprocité",1,76,275,"Alternatives","Rassemblement démocratique des femmes du Niger","Niger","",13.51,2.11,"Gouvernance et société civile","Droits de la personne",5910.00,6470.00,0.00,0.00,0.00,0.00,"2000-2001","","","","","Approuvé / Versé"
685,"2000-2001","QSF","Organisation communautaire et protection de l'environnement","Stages annuels","réciprocité",1,76,285,"Alternatives","Convention pour la rénovation de Palmarin (COREPA)","Sénégal","",14.71,-17.47,"Agriculture / Foresterie","Éducation et formation dans le domaine agricole",5910.00,6470.00,0.00,0.00,0.00,0.00,"2000-2001","","","","","Approuvé / Versé"
686,"2000-2001","QSF","Salud à la tienne","Stages annuels","spécialisé",10,101,35,"Plan Nagua","CIMPA","République dominicaine","",18.47,-69.90,"Santé","SANTÉ DE BASE",38030.00,21625.00,16405.00,4800.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
687,"2000-2001","QSF","Adjoint au programme de formation des stages de coopération internationale","Stages annuels","stagiaires OCI",1,101,,"Plan Nagua",,"Canada-Québec","",46.84,-71.24,"Concours fournis aux OCI québécois","Appui à la mission des OCI",10000.00,5000.00,5000.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
688,"2000-2001","QSF","Adjoint au concours Jeunes reporters sans frontières","Stages annuels","stagiaires OCI",1,101,,"Plan Nagua",,"Canada-Québec","",46.84,-71.24,"Concours fournis aux OCI québécois","Appui à la mission des OCI",10000.00,5000.00,5000.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
689,"2001-2002","AAHI","Bolivie 2001","Stages étudiants","",0,62,288,"L'AMIE (Aide internationale à l'enfance)","Centre Luis Espinal","Bolivie","La Paz",-16.49,-68.15,"Services sociaux","Services sociaux",1000.00,1000.00,0.00,0.00,0.00,0.00,"2001-2002","","","","","Approuvé / Versé"
690,"2001-2002","AAHI","Projet de construction de salles de classe pour l'Institut Wando (Dungu)","Grands projets","",0,106,308,"Terre sans frontières","Diocèse de Dungu","République démocratique du Congo","Dungu",-4.32,15.31,"Éducation","Équipements scolaires et formation",77595.00,77595.00,0.00,0.00,0.00,0.00,"2001-2002","","","","","Approuvé / Versé"
694,"2000-2001","QSF","Commerce équitable : le café mexicain","Stages annuels","universel",10,79,289,"Carrefour International (bureau régional du Québec)","UCIRI","Mexique","",19.42,-99.12,"Activités génératrices de revenus","Commerce équitable",38600.00,22000.00,16600.00,5400.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
695,"2000-2001","QSF","Femmes, micro crédit et maraîchage","Stages annuels","universel",10,79,136,"Carrefour International (bureau régional du Québec)","Association Kilabo","Mali","",12.65,-8.00,"Agriculture / Foresterie","Coopératives agricoles",46670.00,26070.00,20600.00,5400.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
696,"2000-2001","QSF","Jumelage Québec-Burkina Faso en agrosylviculture","Stages annuels","universel",10,79,147,"Carrefour International (bureau régional du Québec)","Sahel Solidarité","Burkina Faso","",12.37,-1.52,"Agriculture / Foresterie","AGRICULTURE",46600.00,26000.00,20600.00,5400.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
697,"2000-2001","QSF","Adjointe ou adjoint au Programme Québec sans frontières (QSF)","Stages annuels","stagiaires OCI",1,79,,"Carrefour International (bureau régional du Québec)",,"Canada-Québec","",46.84,-71.24,"Concours fournis aux OCI québécois","Appui à la mission des OCI",10000.00,5000.00,5000.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
698,"2000-2001","QSF","Lutte contre la désertification","Stages annuels","spécialisé",10,79,77,"Carrefour International (bureau régional du Québec)","Gayia","Niger","",13.51,2.11,"Agriculture / Foresterie","Ressources en terres cultivables",46600.00,26000.00,20600.00,5400.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
699,"2000-2001","QSF","Femmes, micro crédit et maraîchage","Stages annuels","réciprocité",1,79,136,"Carrefour International (bureau régional du Québec)","Association Kilabo","Mali","",12.65,-8.00,"Activités génératrices de revenus","Micro-crédit",7100.00,7100.00,900.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
700,"2000-2001","QSF","Lutte contre la désertification au Niger","Stages annuels","réciprocité",2,79,77,"Carrefour International (bureau régional du Québec)","Gayia","Niger","",13.51,2.11,"Agriculture / Foresterie","Éducation et formation dans le domaine agricole",14200.00,14200.00,1800.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
701,"2000-2001","QSF","Commerce équitable.","Stages annuels","réciprocité",1,79,292,"Carrefour International (bureau régional du Québec)","CEPCO","Mexique","",19.42,-99.12,"Activités génératrices de revenus","Commerce équitable",5700.00,5700.00,900.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
702,"2000-2001","QSF","Jumelage en agrosylviculture au Burkina Faso","Stages annuels","réciprocité",2,79,147,"Carrefour International (bureau régional du Québec)","Sahel Solidarité","Burkina Faso","",12.37,-1.52,"Agriculture / Foresterie","Éducation et formation dans le domaine agricole",14200.00,14200.00,1800.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
703,"2000-2001","QSF","Agriculture et santé communautaire","Stages pluriannuels","universel",9,80,136,"Carrefour de solidarité internationale","Association Kilabo","Mali","",12.65,-8.00,"Multisectoriel/Autre",,36520.00,19735.00,16785.00,2916.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
704,"2000-2001","QSF","Santé communautaire","Stages pluriannuels","universel",9,80,82,"Carrefour de solidarité internationale","Centro de planificacion y accion ecumenica","République dominicaine","",18.47,-69.90,"Santé","Formation de personnel de santé",29610.00,16425.00,13185.00,2916.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
706,"2000-2001","QSF","Organisatrice ou organisateur communautaire","Stages annuels","stagiaires OCI",1,80,,"Carrefour de solidarité internationale",,"Canada-Québec","",46.84,-71.24,"Concours fournis aux OCI québécois","Appui à la mission des OCI",10000.00,5000.00,5000.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
707,"2000-2001","QSF","Santé communautaire, gestion administrative et informatique","Stages annuels","spécialisé",9,80,280,"Carrefour de solidarité internationale","Ayni salud","Pérou","",-12.04,-77.05,"Santé","SANTÉ DE BASE",35262.00,21600.00,13662.00,3888.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
708,"2000-2001","QSF","Échanges en Équateur","Stages annuels","universel",10,85,293,"Centre de solidarité internationale du Saguenay-Lac-Saint-Jean","Réseau chrétien des femmes rurales du Chimborazo","Équateur","",-0.21,-78.50,"Agriculture / Foresterie","Production agricole",40700.00,22750.00,17950.00,4800.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
709,"2000-2001","QSF","Soyez les bienvenus, en langue mooré","Stages annuels","universel",10,85,294,"Centre de solidarité internationale du Saguenay-Lac-Saint-Jean","Union des groupements Benkadi","Burkina Faso","",12.37,-1.52,"Multisectoriel/Autre",,42830.00,42830.00,4200.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
710,"2000-2001","QSF","Agente ou agent de projet","Stages annuels","stagiaires OCI",1,85,,"Centre de solidarité internationale du Saguenay-Lac-Saint-Jean",,"Canada-Québec","",46.84,-71.24,"Concours fournis aux OCI québécois","Appui à la mission des OCI",10000.00,5000.00,5000.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
711,"2000-2001","QSF","Développement communautaire","Stages annuels","universel",10,66,57,"Club 2/3","FUNSALPRODESE","El Salvador","",13.71,-89.20,"Agriculture / Foresterie","Ressources en terres cultivables",38960.00,21500.00,160.00,17300.00,4200.00,0.00,"2000-2001","2000-2001","2000-2001","2000-2001","","Approuvé / Versé"
712,"2000-2001","QSF","L'éducation relative à l'environnement","Stages annuels","universel",10,66,139,"Club 2/3","Groupe pour l'étude et l'enseignement de la population (GEEP)","Sénégal","",14.71,-17.47,"Environnement","Éducation et formation environnementales",42800.00,23500.00,19300.00,4200.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
713,"2000-2001","QSF","Éducation et santé communautaire","Stages annuels","universel",10,66,316,"Club 2/3","Association des Parents et Maîtres (APM)","Brésil","",-15.78,-47.91,"Santé","Lutte contre les MST et VIH/Sida",38800.00,21500.00,17300.00,4200.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
714,"2000-2001","QSF","Coopératives jeunesse","Stages annuels","spécialisé",10,66,154,"Club 2/3","Conseil de développement du coopérativisme (CODECO)","Pérou","",-12.04,-77.05,"Gouvernance et société civile","Renforcement des structures sociales et communautaires",38800.00,21500.00,17300.00,4200.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
715,"2000-2001","QSF","Formation engagement jeunesse","Stages annuels","stagiaires OCI",1,66,,"Club 2/3",,"Canada-Québec","",46.84,-71.24,"Concours fournis aux OCI québécois","Appui à la mission des OCI",10000.00,5000.00,5000.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
716,"2000-2001","QSF","Solidarité avec Cuba","Stages annuels","universel",5,68,296,"Comité de Solidarité/Trois-Rivières",,"Cuba","",23.13,-82.36,"Services sociaux","Services sociaux",19300.00,19300.00,2700.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
717,"2000-2001","QSF","Campagne de communications sociales","Stages pluriannuels","universel",7,68,61,"Comité de Solidarité/Trois-Rivières","Institut Terrazul","Cuba","",23.13,-82.36,"Santé","Lutte contre les maladies infectieuses",26880.00,15260.00,11620.00,3780.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
718,"2000-2001","QSF","Adjointe ou adjoint à la responsable des stages Québec sans frontières (QSF)","Stages annuels","stagiaires OCI",2,68,,"Comité de Solidarité/Trois-Rivières",,"Canada-Québec","",46.84,-71.24,"Concours fournis aux OCI québécois","Appui à la mission des OCI",10000.00,5000.00,5000.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
719,"2000-2001","QSF","Responsable du volet promotion du réseau In-Terre-Actif","Stages annuels","stagiaires OCI",2,68,,"Comité de Solidarité/Trois-Rivières",,"Canada-Québec","",46.84,-71.24,"Concours fournis aux OCI québécois","Appui à la mission des OCI",10000.00,5000.00,5000.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
720,"2000-2001","QSF","Développement local communautaire","Stages annuels","universel",10,96,142,"Jeunesse Canada Monde / Bureau régional du Québec","Centro Juvenil Promoción Integral (CEJUV)","Mexique","",19.42,-99.12,"Services sociaux","Services sociaux",35980.00,19380.00,5400.00,16600.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
721,"2000-2001","QSF","Projet d'intégration en milieu rural","Stages annuels","universel",9,96,31,"Jeunesse Canada Monde / Bureau régional du Québec","Kati Raya","Nicaragua","",12.15,-86.26,"Agriculture / Foresterie","Ressources en terres cultivables",38340.00,21600.00,4860.00,16740.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
722,"2000-2001","QSF","Santé communautaire","Stages annuels","spécialisé",10,96,301,"Jeunesse Canada Monde / Bureau régional du Québec","Groupe de recherche et d'action pour le bien-être social (GRABS)","Bénin","",6.48,2.61,"Santé","Soins et services de santé de base",46600.00,26000.00,20600.00,5400.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
723,"2000-2001","QSF","Projet d'intégration en milieu rural","Stages annuels","réciprocité",6,96,31,"Jeunesse Canada Monde / Bureau régional du Québec","Kati Raya","Nicaragua","",12.15,-86.26,"Agriculture / Foresterie","Éducation et formation dans le domaine agricole",32100.00,32100.00,3600.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
724,"2000-2001","QSF","Projet d'intégration en milieu rural","Stages annuels","réciprocité",8,96,31,"Jeunesse Canada Monde / Bureau régional du Québec","Kati Raya","Nicaragua","",12.15,-86.26,"Agriculture / Foresterie","Éducation et formation dans le domaine agricole",42800.00,42800.00,4800.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
725,"2000-2001","QSF","Adjointe ou adjoint au Programme Québec sans frontières (QSF)","Stages annuels","stagiaires OCI",1,96,,"Jeunesse Canada Monde / Bureau régional du Québec",,"Canada-Québec","",46.84,-71.24,"Concours fournis aux OCI québécois","Appui à la mission des OCI",10000.00,5000.00,5000.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
726,"2000-2001","QSF","Jeunes et ruralité","Stages annuels","universel",7,92,136,"Comité régional d'éducation pour le développement international de Lanaudière","Association Kilabo","Mali","",12.65,-8.00,"Multisectoriel/Autre",,28124.00,16400.00,11724.00,2940.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
727,"2000-2001","QSF","Droits, éducation et développement communautaire","Stages annuels","universel",7,92,302,"Comité régional d'éducation pour le développement international de Lanaudière","Agropation de padres de hijos con discapacidad visual","Chili","",-33.45,-70.66,"Multisectoriel/Autre",,27160.00,27160.00,2940.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
728,"2000-2001","QSF","Alternatives environnementales","Stages annuels","universel",7,92,,"Comité régional d'éducation pour le développement international de Lanaudière",,"Pérou","",-12.04,-77.05,"Environnement","Éducation et formation environnementales",23410.00,15050.00,8360.00,2940.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
729,"2000-2001","QSF","Responsable des stages Québec sans frontières (QSF)","Stages annuels","stagiaires OCI",1,92,,"Comité régional d'éducation pour le développement international de Lanaudière",,"Canada-Québec","",46.84,-71.24,"Concours fournis aux OCI québécois","Appui à la mission des OCI",10000.00,5000.00,5000.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
730,"2000-2001","QSF","Responsable du comité éducation du PAQG","Stages annuels","stagiaires OCI",1,84,,"Centre de ressources sur la non-violence",,"Canada-Québec","",46.84,-71.24,"Concours fournis aux OCI québécois","Appui à la mission des OCI",10030.00,5030.00,5000.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
731,"2000-2001","QSF","Développement communautaire et écologique en milieu autochtone","Stages annuels","universel",6,90,303,"Comité pour les droits humains en Amérique latine","Maderas del Pueblo del Sureste","Mexique","",19.42,-99.12,"Multisectoriel/Autre",,19590.00,10800.00,8790.00,2160.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
732,"2000-2001","QSF","Agente ou agent de recherche en communication","Stages annuels","stagiaires OCI",1,93,,"Cuso-Vso",,"Canada-Québec","",46.84,-71.24,"Concours fournis aux OCI québécois","Appui à la mission des OCI",10060.00,5060.00,5000.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
733,"2000-2001","QSF","Insertion de jeunes finissants en éducation dans des classes primaires sénégalaises","Stages annuels","spécialisé",10,73,304,"Fondation Paul Gérin-Lajoie","Les Inspections départementales de l'éducation nationale de Saint-Louis I et de Saint-Louis II","Sénégal","",14.71,-17.47,"Éducation","Enseignement primaire",41440.00,22595.00,18845.00,3780.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
734,"2000-2001","QSF","Des contes pour l'an 2000","Stages annuels","universel",10,97,305,"Jeunesse du Monde","Confédération du Burkina Faso pour les droits de l'enfant (COBUFADE)","Burkina Faso","",12.37,-1.52,"Services sociaux","Culture et loisirs",42930.00,23630.00,19300.00,4200.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
735,"2000-2001","QSF","Appui à la programmation des Journées québécoises de la solidarité internationale.","Stages annuels","stagiaires OCI",1,105,,"Solidarité Union Coopération",,"Canada-Québec","",46.84,-71.24,"Concours fournis aux OCI québécois","Appui à la mission des OCI",10000.00,5000.00,5000.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
736,"2000-2001","QSF","Superviseure ou superviseur de stages","Stages annuels","stagiaires OCI",1,105,,"Solidarité Union Coopération",,"Canada-Québec","",46.84,-71.24,"Concours fournis aux OCI québécois","Appui à la mission des OCI",10000.00,5000.00,5000.00,0.00,0.00,0.00,"2000-2001","2000-2001","","","","Approuvé / Versé"
737,"2000-2001","QSF","Jeunes créateurs et citoyens du monde","Stages annuels","universel",10,105,307,"Solidarité Union Coopération","INPARRES","Pérou","Villa El Salvador",-12.04,-77.05,"Gouvernance et société civile","Renforcement de la société civile",38990.00,21690.00,17300.00,4200.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
738,"2000-2001","QSF","El Machete Verde y solidaridad","Stages annuels","universel",10,105,235,"Solidarité Union Coopération","Fundacion Mujer-Iglesia (la Fundacion)","Nicaragua","",12.15,-86.26,"Agriculture / Foresterie","AGRICULTURE",38800.00,21500.00,17300.00,4200.00,0.00,0.00,"2000-2001","2000-2001","2000-2001","","","Approuvé / Versé"
740,"2001-2002","AAHI","Stage en Haïti","Stages étudiants","",0,135,,"Association québécoise pour l'avancement des Nations-Unies",,"Haïti","Région de Kenscoff",18.54,-72.33,"Éducation","Équipements scolaires et formation",5000.00,5000.00,0.00,0.00,0.00,0.00,"2001-2002","","","","","Approuvé / Versé"
741,"2001-2002","AAHI","Opération d'appui à l'Association Saint-Camille de Lellis","Petits projets","",0,79,313,"Carrefour International (bureau régional du Québec)","Association St-Camille de Lellis","Côte-d'Ivoire","",6.81,-5.27,"Santé","Soins et services de santé de base",15000.00,15000.00,0.00,0.00,0.00,0.00,"2001-2002","","","","","Approuvé / Versé"
742,"2001-2002","AAHI","Séisme au Pérou - Aide d'urgence","Aide d'urgence","",0,82,,"Centre d'étude et de coopération internationale",,"Pérou","Moquegua",-12.04,-77.05,"Aide d'urgence","Aide alimentaire d'urgence",50000.00,50000.00,0.00,0.00,0.00,0.00,"2001-2002","","","","","Approuvé / Versé"
743,"2001-2002","AAHI","Projet de bibliothèques au Bénin","Projets spéciaux","",0,132,,"Fondation des parlementaires québécois - Cultures à partager",,"Bénin","Cotonou",6.48,2.61,"Services sociaux","Culture et loisirs",7500.00,7500.00,0.00,0.00,0.00,0.00,"2001-2002","","","","","Approuvé / Versé"
744,"2001-2002","AAHI","Projet de reconstruction au El Salvador - Phase II","Grands projets","",0,82,,"Centre d'étude et de coopération internationale",,"El Salvador","",13.71,-89.20,"Services sociaux","Logement",50000.00,50000.00,0.00,0.00,0.00,0.00,"2001-2002","","","","","Approuvé / Versé"
745,"2001-2002","AAHI","Stage d'initiation à la coopération internationale Benkadi","Stages étudiants","",0,80,136,"Carrefour de solidarité internationale","Association Kilabo","Mali","Dioïla",12.65,-8.00,"Agriculture / Foresterie","Produits à usage agricole",2250.00,2250.00,0.00,0.00,0.00,0.00,"2001-2002","","","","","Approuvé / Versé"
